Product Name,Rating,Price
Boult Audio Thunder Bluetooth Headset,4,"₹1,199"
boAt Bassheads 103 Black Wired Headset,4.3,₹399
realme Buds 2 Wired Headset,4.3,₹599
boAt Bassheads 242 Wired Headset,4.3,₹549
Boult Audio ProBass Curve Neckband Bluetooth Headset,4,₹849
Noise Buds VS102 Truly Wireless Bluetooth Headset,4.1,"₹1,299"
boAt BassHeads 900 Wired Headset,4.3,₹749
Mi Basic Wired Headset with Mic,4.3,₹429
boAt Bassheads 100 Wired Headset,4.3,₹399
Noise Buds VS102 Truly Wireless Bluetooth Headset,4.1,"₹1,299"
APPLE MMTN2ZM/A Wired Headset,4.3,"₹1,649"
